dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1934-11-01,26.292,0.474,Acre,Brazil
1934-12-01,26.022,0.581,Acre,Brazil
1935-01-01,26.21,0.253,Acre,Brazil
1935-02-01,26.278,0.447,Acre,Brazil
1935-03-01,26.315,0.316,Acre,Brazil
1935-04-01,25.257,0.487,Acre,Brazil
1935-05-01,24.714,0.457,Acre,Brazil
1935-06-01,24.847,0.654,Acre,Brazil
1935-07-01,24.499,0.482,Acre,Brazil
1935-08-01,25.031,0.501,Acre,Brazil
1935-09-01,25.721,0.434,Acre,Brazil
1935-10-01,26.58,0.495,Acre,Brazil
1935-11-01,26.412,0.429,Acre,Brazil
1935-12-01,26.283,0.398,Acre,Brazil
1936-01-01,25.65,0.827,Acre,Brazil
1936-02-01,26.544,0.393,Acre,Brazil
1936-03-01,26.242,0.554,Acre,Brazil
1936-04-01,25.873,0.297,Acre,Brazil
1936-05-01,26.191,0.513,Acre,Brazil
1936-06-01,24.839,0.388,Acre,Brazil
1936-07-01,24.488,0.459,Acre,Brazil
1936-08-01,25.055,1.025,Acre,Brazil
1936-09-01,26.419,0.336,Acre,Brazil
1936-10-01,26.89,0.48,Acre,Brazil
1936-11-01,26.835,0.523,Acre,Brazil
1936-12-01,26.317,0.298,Acre,Brazil
1937-01-01,26.329,0.346,Acre,Brazil
1937-02-01,26.44,0.357,Acre,Brazil
1937-03-01,26.489,0.411,Acre,Brazil
1937-04-01,25.825,0.33,Acre,Brazil
1937-05-01,25.183,0.511,Acre,Brazil
1937-06-01,25.286,0.433,Acre,Brazil
1937-07-01,25.803,1.527,Acre,Brazil
1937-08-01,26.439,0.35,Acre,Brazil
1937-09-01,27.235,0.922,Acre,Brazil
1937-10-01,26.282,0.462,Acre,Brazil
1937-11-01,27.684,1.505,Acre,Brazil
1937-12-01,26.56,0.252,Acre,Brazil
1938-01-01,26.199,0.561,Acre,Brazil
1938-02-01,26.432,0.803,Acre,Brazil
1938-03-01,25.896,0.885,Acre,Brazil
1938-04-01,25.625,0.965,Acre,Brazil
1938-05-01,25.341,0.598,Acre,Brazil
1938-06-01,25.046,0.364,Acre,Brazil
1938-07-01,24.82,0.429,Acre,Brazil
1938-08-01,25.357,0.998,Acre,Brazil
1938-09-01,26.379,0.491,Acre,Brazil
1938-10-01,25.645,0.666,Acre,Brazil
1938-11-01,26.307,0.36,Acre,Brazil
1938-12-01,26.049,0.293,Acre,Brazil
1939-01-01,25.86,0.632,Acre,Brazil
1939-02-01,25.951,0.55,Acre,Brazil
1939-03-01,26.245,0.398,Acre,Brazil
1939-04-01,26.036,0.604,Acre,Brazil
1939-05-01,26.01,0.663,Acre,Brazil
1939-06-01,25.924,0.541,Acre,Brazil
1939-07-01,25.019,0.342,Acre,Brazil
1939-08-01,25.741,0.634,Acre,Brazil
1939-09-01,26.215,0.585,Acre,Brazil
